date,xgb_mae,nn_mae
2025-01-01,0.047716808,2.718017213502651
2025-01-02,0.037113626,0.7309632544200568
2025-01-03,0.02628498,0.3724499164195336
2025-01-04,0.0203467,0.33082381796448485
2025-01-05,0.024755478,0.35458358895279773
2025-01-06,0.02150396,0.24931025130518766
2025-01-07,0.020410838,0.07495525381595038
2025-01-08,0.015862001,0.1210550264944419
2025-01-09,0.01668073,0.08520546316853699
2025-01-10,0.018515963,0.09225211989378505
2025-01-11,0.013334807,0.13456048306501794
2025-01-12,0.015192251,0.2558883083020547
2025-01-13,0.015926443,0.09111595559110229
2025-01-14,0.014061896,0.1709965800164931
2025-01-15,0.016326176,0.11135543901889756
2025-01-16,0.0137576675,0.1025513810598785
2025-01-17,0.013059364,0.082964638176633
2025-01-18,0.013714298,0.08692503427798731
2025-01-19,0.011372252,0.07458087058561429
2025-01-20,0.012528274,0.08497419554533492
2025-01-21,0.011833008,0.06100264469617626
2025-01-22,0.010374707,0.07517392808775507
2025-01-23,0.011855113,0.06269936780592306
2025-01-24,0.015030922,0.23372893019979094
2025-01-25,0.012859783,0.04093842802590714
2025-01-26,0.013877595,0.04006129096644542
2025-01-27,0.012904102,0.10203352555197549
2025-01-28,0.009083911,0.06838822533477766
2025-01-29,0.012449882,0.05392054807896405
2025-01-30,0.011901339,0.055680743173674184
2025-01-31,0.011713938,0.0853710600906949
2025-02-01,0.010502032,0.13166196743726807
2025-02-02,0.0113857845,0.06705988431909711
2025-02-03,0.011146909,0.084339709754255
2025-02-04,0.011625183,0.05568515079041276
2025-02-05,0.012627039,0.08492255429400138
2025-02-06,0.011953338,0.40101467928133006
2025-02-07,0.011579261,0.03547042483707861
2025-02-08,0.009998725,0.032755779622329576
2025-02-09,0.009953241,0.04628856611548136
2025-02-10,0.010566056,0.04074962224368104
2025-02-11,0.009739548,0.04629834586614898
2025-02-12,0.009754213,0.03671064684212417
2025-02-13,0.00900114,0.03631058394856595
2025-02-14,0.010139918,0.03470826249752953
2025-02-15,0.009024143,0.026331682047028872
2025-02-16,0.008193334,0.033514692685215744
2025-02-17,0.00902886,0.039506678024657786
2025-02-18,0.009123049,0.02802302976364903
2025-02-19,0.009086436,0.04261172693921551
2025-02-20,0.011662616,0.06533627365251882
2025-02-21,0.009863398,0.0684622454680681
2025-02-22,0.010420042,0.05203220313361257
2025-02-23,0.013822808,0.06572807227618317
2025-02-24,0.009217506,0.03908260157924472
2025-02-25,0.009696597,0.03265010039738388
2025-02-26,0.012511587,0.03526441405964593
2025-02-27,0.00909695,0.02759079374774699
2025-02-28,0.009224246,0.03801789627878744
2025-03-01,0.009391476,0.032815191890395536
2025-03-02,0.007886275,0.0330035217562152
2025-03-03,0.008955876,0.03978548083373143
2025-03-04,0.009007905,0.03562220947149437
2025-03-05,0.008792704,0.03896213925542707
2025-03-06,0.008898409,0.05361022457676158
2025-03-07,0.009564412,0.05937415628634313
2025-03-08,0.009239688,0.030707892988931944
2025-03-09,0.008236801,0.04348311762366978
2025-03-10,0.008051071,0.03999787159149924
2025-03-11,0.00849852,0.02602828704505233
2025-03-12,0.007261513,0.029858674224412185
2025-03-13,0.008249114,0.02248397603488386
2025-03-14,0.007713151,0.038613116048432504
2025-03-15,0.0076727807,0.03695053372463766
2025-03-16,0.0071798423,0.032655477998452524
2025-03-17,0.007215792,0.03606718560337021
2025-03-18,0.00761229,0.036854445079845685
2025-03-19,0.0071968953,0.035679004722769844
2025-03-20,0.0069871563,0.03620356648744923
2025-03-21,0.0076619405,0.03357801490242464
2025-03-22,0.010322859,0.04044458163656931
